HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/smartvista/pa,custom_rb_smartvista,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/smartvista/pa,custom_rb_smartvista,r_dc_custom_rb_smartvista_ro,g_dc_d_custom_rb_smartvista_ro,Пользователь,,
/data/custom/rb/smartvista/stg,custom_rb_smartvista_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/smartvista/stg,custom_rb_smartvista_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/smsb/pa,custom_rb_smsb,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/smsb/pa,custom_rb_smsb,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/smsb/pa,custom_rb_smsb,r_dc_custom_rb_smsb_ro,g_dc_d_custom_rb_smsb_ro,Пользователь,,
/data/custom/rb/smsb/stg,custom_rb_smsb_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/smsb/stg,custom_rb_smsb_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/snul/pa,custom_rb_snul,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/snul/pa,custom_rb_snul,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/snul/pa,custom_rb_snul,r_dc_custom_rb_snul_ro,g_dc_d_custom_rb_snul_ro,Пользователь,,
/data/custom/rb/snul/stg,custom_rb_snul_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/snul/stg,custom_rb_snul_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
